Designator,Mid X,Mid Y,Rotation,Layer
C1,185.47,-78.0,0.0,top
C10,191.09,-55.06,0.0,top
C11,189.17,-67.21,90.0,top
C12,188.24,-67.21,90.0,top
C13,186.33,-80.64,270.0,top
C14,185.02,-58.66,0.0,top
C15,182.38,-83.38,180.0,top
C16,185.41,-81.0,90.0,top
C2,191.02,-67.21,270.0,top
C3,190.39,-69.03,90.0,top
C4,190.98,-73.06,180.0,top
C5,180.25,-73.9,90.0,top
C6,181.82,-67.56,270.0,top
C8,190.1,-67.21,90.0,top
C9,190.85,-56.49,90.0,top
D1,189.26,-53.42,180.0,top
J1,186.11,-45.5,180.0,top
J2,195.0,-45.0,0.0,bottom
J3,177.22,-93.26,180.0,bottom
J4,186.11,-94.215,90.0,top
R1,186.095259,-65.551117,270.0,top
R2,187.045259,-65.571117,90.0,top
R3,187.43,-51.28,90.0,top
R4,185.7,-51.28,90.0,top
R5,182.0,-52.03,0.0,top
R6,185.03,-57.73,180.0,top
R7,183.97,-88.91,270.0,top
SW1,182.57,-55.5,90.0,top
SW2,181.99,-86.84,90.0,top
SW3,187.62,-89.3,0.0,top
U1,185.8,-72.26,90.0,top
U2,188.68,-56.6375,90.0,top
U3,182.01,-61.8225,90.0,top
U4,186.595,-62.35,90.0,top
Y1,183.2,-80.81,270.0,top
